CDcode,Pname,Population,CollegeEducated,PercentOwnHouse,Income
1001,Newfoundland and Labrador,270350,24.8,74.1,74676
1002,Newfoundland and Labrador,20370,7.5,86.3,60912
1003,Newfoundland and Labrador,15560,7.3,86.0,56224
1004,Newfoundland and Labrador,20385,10.9,73.7,44282
1005,Newfoundland and Labrador,42015,17.0,73.9,62565
1006,Newfoundland and Labrador,38345,14.1,71.5,61250
1007,Newfoundland and Labrador,34090,8.6,84.7,57183
1008,Newfoundland and Labrador,35795,6.5,87.3,51687
1009,Newfoundland and Labrador,15610,9.0,89.1,59858
1010,Newfoundland and Labrador,24635,13.3,71.0,112768
1011,Newfoundland and Labrador,2555,8.7,68.9,70315
1101,Prince Edward Island,17160,14.6,81.9,57799
1102,Prince Edward Island,82015,30.4,66.5,63770
1103,Prince Edward Island,43730,14.4,72.7,58196
1201,Nova Scotia,13965,9.0,83.1,57462
1202,Nova Scotia,24420,14.3,74.2,54006
1203,Nova Scotia,17325,14.1,79.9,47922
1204,Nova Scotia,10350,11.9,80.6,47548
1205,Nova Scotia,20590,13.7,80.1,48116
1206,Nova Scotia,47125,17.1,80.0,54833
1207,Nova Scotia,60600,21.3,69.6,57776
1208,Nova Scotia,42560,16.5,80.0,65028
1209,Nova Scotia,403390,35.2,60.1,69522
1210,Nova Scotia,50585,19.1,69.4,55371
1211,Nova Scotia,30005,13.4,76.3,49883
1212,Nova Scotia,43750,17.2,74.8,56066
1213,Nova Scotia,7625,9.5,87.3,49253
1214,Nova Scotia,19300,29.7,75.3,64558
1215,Nova Scotia,17235,18.2,79.3,58432
1216,Nova Scotia,8965,11.8,81.7,53099
1217,Nova Scotia,98720,18.3,70.7,52914
1218,Nova Scotia,7090,16.8,83.9,56794
1301,New Brunswick,74020,18.8,58.3,53387
1302,New Brunswick,25430,13.7,81.6,55701
1303,New Brunswick,27645,15.4,78.1,71512
1304,New Brunswick,10470,9.9,88.2,48539
1305,New Brunswick,68940,25.4,87.5,76290
1306,New Brunswick,29155,20.2,81.5,66521
1307,New Brunswick,149625,23.9,69.1,61903
1308,New Brunswick,30475,10.5,78.7,54123
1309,New Brunswick,44950,12.8,79.5,55223
1310,New Brunswick,99410,35.5,70.3,65274
1311,New Brunswick,26220,14.5,76.8,55749
1312,New Brunswick,18615,12.7,75.2,49146
1313,New Brunswick,32740,15.8,75.1,53146
1314,New Brunswick,30955,11.6,78.4,49553
1315,New Brunswick,78440,12.3,79.4,52793
2401,Quebec,12475,13.2,76.2,61243
2402,Quebec,17280,9.5,73.0,47957
2403,Quebec,17115,15.9,74.4,57676
2404,Quebec,11315,10.1,74.2,45046
2405,Quebec,17660,12.5,74.2,53346
2406,Quebec,14465,14.6,75.0,48370
2407,Quebec,17925,9.0,74.7,47488
2408,Quebec,21300,11.9,70.8,47821
2409,Quebec,18210,11.7,73.8,48996
2410,Quebec,56650,24.3,65.5,56835
2411,Quebec,8690,11.7,76.6,44809
2412,Quebec,33960,16.2,66.7,55865
2413,Quebec,19575,8.9,75.6,49317
2414,Quebec,21070,13.9,76.4,54854
2415,Quebec,15510,10.3,75.0,55727
2416,Quebec,13000,12.8,74.1,56806
2417,Quebec,17795,9.4,79.1,52042
2418,Quebec,22695,11.2,71.4,49649
2419,Quebec,37235,11.4,78.8,62039
2420,Quebec,7080,25.2,82.1,77568
2421,Quebec,28200,21.5,82.7,71277
2422,Quebec,43485,24.4,86.5,90884
2423,Quebec,569715,32.0,54.9,61175
2425,Quebec,143415,27.2,69.4,74101
2426,Quebec,36785,14.8,78.4,67947
2427,Quebec,19125,11.6,75.6,56640
2428,Quebec,16535,7.9,80.5,50534
2429,Quebec,52405,12.6,69.8,55478
2430,Quebec,21465,9.1,78.3,51422
2431,Quebec,42345,10.7,73.8,48981
2432,Quebec,23425,8.1,73.7,50716
2433,Quebec,31740,10.7,79.3,61017
2434,Quebec,53010,14.5,78.6,60385
2435,Quebec,12360,9.3,80.4,45266
2436,Quebec,49345,13.1,56.8,44555
2437,Quebec,153030,21.3,59.0,51335
2438,Quebec,20400,15.9,76.9,54778
2439,Quebec,72015,14.4,69.0,53697
2440,Quebec,14290,8.8,69.4,45595
2441,Quebec,22335,9.4,78.1,52022
2442,Quebec,30690,13.2,73.8,60791
2443,Quebec,161320,27.5,51.6,51706
2444,Quebec,18495,10.5,71.7,54090
2445,Quebec,50415,21.3,72.7,58045
2446,Quebec,58315,18.9,70.2,57801
2447,Quebec,88305,14.9,60.4,55259
2448,Quebec,15595,6.5,72.4,51261
2449,Quebec,103400,13.4,61.2,52580
2450,Quebec,23160,12.6,74.6,53093
2451,Quebec,36320,11.0,76.0,50546
2452,Quebec,42190,8.7,74.5,55057
2453,Quebec,51025,11.4,66.7,52922
2454,Quebec,87100,13.0,60.5,55917
2455,Quebec,36535,13.2,71.5,65186
2456,Quebec,117440,15.3,65.8,61778
2457,Quebec,124420,28.2,81.2,84889
2458,Quebec,415350,33.0,63.6,66932
2459,Quebec,77550,22.8,80.4,84387
2460,Quebec,124760,17.1,75.7,74714
2461,Quebec,66550,16.1,59.5,53626
2462,Quebec,50435,11.0,78.9,49542
2463,Quebec,52595,6.7,77.2,58065
2464,Quebec,158270,16.8,79.4,78813
2465,Quebec,422990,27.6,69.4,70216
2466,Quebec,1942045,40.3,40.0,52519
2467,Quebec,171445,23.2,78.8,78596
2468,Quebec,27870,9.2,74.6,64332
2469,Quebec,22450,10.9,78.2,50777
2470,Quebec,64320,10.9,61.7,54509
2471,Quebec,149350,23.9,82.4,78913
2472,Quebec,98200,18.0,75.8,71086
2473,Quebec,157105,24.8,72.8,77568
2474,Quebec,50510,14.9,70.8,75895
2475,Quebec,128170,13.4,66.5,59462
2476,Quebec,32390,9.9,68.6,50415
2477,Quebec,41880,23.5,76.0,58800
2478,Quebec,45900,15.5,72.3,50630
2479,Quebec,35245,10.1,72.7,46928
2480,Quebec,22835,10.4,79.0,51196
2481,Quebec,276245,30.2,62.5,68703
2482,Quebec,49095,27.1,89.1,90482
2483,Quebec,20185,9.0,75.4,46072
2484,Quebec,14255,8.0,78.6,50567
2485,Quebec,15980,10.7,75.5,55627
2486,Quebec,42335,19.2,63.5,62994
2487,Quebec,20540,8.7,76.1,57116
2488,Quebec,24635,12.7,71.4,64064
2489,Quebec,43230,13.6,64.3,62540
2490,Quebec,15060,8.3,61.6,51384
2491,Quebec,31285,12.4,72.2,54587
2492,Quebec,24790,9.1,73.5,54479
2493,Quebec,52745,13.8,72.5,58076
2494,Quebec,167550,18.5,65.0,59268
2495,Quebec,10850,8.7,76.5,51760
2496,Quebec,31025,13.2,72.6,64034
2497,Quebec,39320,13.3,65.4,72600
2498,Quebec,11325,9.6,71.3,70042
2499,Quebec,44560,9.8,37.1,82065
3501,Ontario,113430,12.7,70.8,59526
3502,Ontario,89335,17.0,77.3,78748
3506,Ontario,934245,45.0,65.7,85981
3507,Ontario,100545,16.3,78.0,68305
3509,Ontario,68700,17.5,78.9,71660
3510,Ontario,150475,30.2,64.9,69432
3511,Ontario,42890,14.5,80.8,71725
3512,Ontario,136445,12.9,71.9,61109
3513,Ontario,24735,18.6,83.1,66140
3514,Ontario,85600,16.5,81.0,70208
3515,Ontario,138240,22.2,73.1,64437
3516,Ontario,75425,11.9,82.9,67187
3518,Ontario,645865,24.9,81.2,89834
3519,Ontario,1109910,41.3,85.8,95776
3520,Ontario,2731570,44.1,52.8,65829
3521,Ontario,1381740,36.1,76.2,86233
3522,Ontario,61735,18.2,82.6,89608
3523,Ontario,222725,29.5,73.9,81347
3524,Ontario,548435,43.1,80.9,103009
3525,Ontario,536915,25.0,67.6,69024
3526,Ontario,447885,20.7,74.0,65086
3528,Ontario,109785,12.0,81.3,70686
3529,Ontario,134805,16.7,72.4,68741
3530,Ontario,535150,28.7,68.2,77530
3531,Ontario,76795,16.0,73.2,70336
3532,Ontario,110860,13.5,73.8,72294
3534,Ontario,88980,12.3,75.4,66494
3536,Ontario,102040,13.1,72.2,58185
3537,Ontario,398950,24.0,72.8,66658
3538,Ontario,126635,16.1,74.5,70022
3539,Ontario,455525,28.9,63.5,64797
3540,Ontario,59300,12.6,78.0,65944
3541,Ontario,68150,16.7,81.5,71193
3542,Ontario,93830,16.6,76.7,62935
3543,Ontario,479650,18.3,78.8,76489
3544,Ontario,60600,18.9,81.6,67880
3546,Ontario,18060,15.7,87.3,58125
3547,Ontario,102395,15.8,75.8,67683
3548,Ontario,83150,17.7,67.1,60303
3549,Ontario,42825,14.1,82.5,60251
3551,Ontario,13255,15.2,73.3,50227
3552,Ontario,21545,10.8,82.0,65333
3553,Ontario,161650,20.5,65.8,71791
3554,Ontario,32250,11.5,73.7,59360
3556,Ontario,79680,12.3,67.7,68349
3557,Ontario,114095,18.5,71.5,58664
3558,Ontario,146045,21.8,72.8,68062
3559,Ontario,20110,13.3,75.0,64320
3560,Ontario,65530,12.8,59.7,66198
4601,Manitoba,18535,13.7,86.0,62660
4602,Manitoba,75570,14.8,80.2,74504
4603,Manitoba,54795,13.5,79.4,65475
4604,Manitoba,9985,11.2,81.1,57088
4605,Manitoba,13180,13.7,84.5,63147
4606,Manitoba,10315,13.4,71.8,64055
4607,Manitoba,68750,20.1,66.2,69374
4608,Manitoba,13970,9.2,74.4,53996
4609,Manitoba,24395,15.0,68.5,61336
4610,Manitoba,11940,25.4,92.7,109483
4611,Manitoba,708825,32.6,65.0,68552
4612,Manitoba,23680,18.3,92.4,88558
4613,Manitoba,49085,19.6,87.6,88680
4614,Manitoba,18620,14.5,89.9,86932
4615,Manitoba,21380,14.1,78.7,60298
4616,Manitoba,9845,10.2,70.8,51272
4617,Manitoba,22205,13.6,72.8,50775
4618,Manitoba,24040,10.9,79.2,54491
4619,Manitoba,16515,6.3,30.5,34944
4620,Manitoba,9625,10.5,75.2,53691
4621,Manitoba,21985,14.1,64.7,72028
4622,Manitoba,42165,11.7,32.6,64061
4623,Manitoba,8970,8.7,20.4,55219
4701,Saskatchewan,31765,12.4,78.0,87916
4702,Saskatchewan,22825,14.6,79.2,77118
4703,Saskatchewan,12610,11.3,81.7,64805
4704,Saskatchewan,10855,14.9,80.0,65139
4705,Saskatchewan,31750,12.2,78.7,67694
4706,Saskatchewan,262835,28.7,70.8,82590
4707,Saskatchewan,47195,15.9,73.4,68729
4708,Saskatchewan,30715,15.4,77.8,74155
4709,Saskatchewan,35635,15.0,76.9,58747
4710,Saskatchewan,16565,11.1,74.4,51328
4711,Saskatchewan,303425,31.0,70.4,81913
4712,Saskatchewan,23985,13.5,81.4,75429
4713,Saskatchewan,23225,11.4,79.7,79227
4714,Saskatchewan,36095,12.8,78.0,59103
4715,Saskatchewan,85910,16.4,73.0,71463
4716,Saskatchewan,38000,13.7,68.2,58224
4717,Saskatchewan,47900,13.0,67.8,75633
4718,Saskatchewan,37065,9.6,37.6,52685
4801,Alberta,82625,14.4,73.6,75141
4802,Alberta,169730,19.7,72.4,76397
4803,Alberta,38955,15.4,78.6,64806
4804,Alberta,9570,9.2,82.7,77728
4805,Alberta,55705,13.2,76.1,77312
4806,Alberta,1498775,37.1,73.7,99388
4807,Alberta,41570,11.3,81.6,82031
4808,Alberta,209395,15.9,72.4,87260
4809,Alberta,20870,10.5,79.5,82399
4810,Alberta,97445,14.8,78.3,82575
4811,Alberta,1366050,28.3,69.8,93913
4812,Alberta,67120,13.0,75.3,94409
4813,Alberta,71015,10.1,81.1,82013
4814,Alberta,29290,12.5,75.7,96569
4815,Alberta,38595,30.7,62.4,85760
4816,Alberta,73990,21.4,66.2,192979
4817,Alberta,61590,10.4,67.4,78462
4818,Alberta,14490,8.6,72.6,92416
4819,Alberta,120380,14.6,72.4,103171
5901,British Columbia,60440,17.7,78.0,76850
5903,British Columbia,59520,18.8,76.8,55532
5905,British Columbia,31445,16.0,80.3,59721
5907,British Columbia,83025,16.9,73.5,57069
5909,British Columbia,295935,17.0,73.1,69289
5915,British Columbia,2463430,37.5,63.7,72662
5917,British Columbia,383360,33.7,63.3,69665
5919,British Columbia,83735,17.2,77.3,65191
5921,British Columbia,155700,21.8,73.9,62349
5923,British Columbia,30980,11.6,72.0,55278
5924,British Columbia,44675,15.0,73.7,62366
5926,British Columbia,66530,21.3,76.4,63397
5927,British Columbia,20070,14.4,77.0,53056
5929,British Columbia,29970,23.0,77.8,60279
5931,British Columbia,42665,30.6,70.2,78581
5933,British Columbia,132665,19.0,74.8,69308
5935,British Columbia,194880,21.2,73.3,71127
5937,British Columbia,84355,16.1,76.0,63364
5939,British Columbia,51370,15.5,79.7,64009
5941,British Columbia,61990,11.5,76.7,63638
5943,British Columbia,11035,11.1,68.5,58912
5945,British Columbia,3320,14.4,66.0,48000
5947,British Columbia,18135,13.4,64.7,64411
5949,British Columbia,37365,14.3,74.0,71742
5951,British Columbia,37900,14.4,76.7,76008
5953,British Columbia,94510,17.9,72.7,77676
5955,British Columbia,62940,12.4,70.4,94002
5957,British Columbia,740,12.9,59.2,50816
5959,British Columbia,5395,9.9,68.2,89527
6001,Yukon,35875,30.1,63.6,84521
6101,Northwest Territories,6375,16.2,33.3,81536
6102,Northwest Territories,2435,16.0,44.2,105728
6103,Northwest Territories,2750,7.1,53.9,84864
6104,Northwest Territories,3160,10.4,60.8,75584
6105,Northwest Territories,6980,17.7,61.8,104302
6106,Northwest Territories,20090,33.7,56.8,141700
6204,Nunavut,18990,17.8,19.3,104896
6205,Nunavut,10410,10.0,22.2,93294
6208,Nunavut,6545,9.8,18.6,77397
